Word,Language,IPA,English Translation,Sentiment_Compound
настреляли по пиздюлятору,ru,nastrelalipopizdulatoru,shot the pussy.,0.0
ебанько,ru,jebanko,fucker,-0.6486
манья,ru,mana,mania,0.0
спиздить,ru,spizdit,snatch,0.0
ебанула,ru,jebanula,fucked,-0.6597
выблядовал,ru,vɨbladoval,ogled,0.0
скотоёб,ru,skotoob,cattle eater,0.0
обосцать,ru,obostsat,shit,-0.5574
однохуйственно,ru,odnoxujstvenno,fucked,-0.6597
менты,ru,mentɨ,mentors,0.0
наебнулась,ru,naebnulas,fucked up,-0.6597
ёбнул,ru,jobnul,fucked,-0.6597
стоячок,ru,stoatɕok,riser,0.0
блядская,ru,bladskaa,fucking,0.0
распиздошила,ru,raspizdoʂila,fucked up,-0.6597
блядство,ru,bladstvo,fucking,0.0
шоха,ru,ʂoxa,shoja,0.0
жидоёбский,ru,ʒidoobskij,Jew,0.0
прихуел,ru,prixuel,fucked up,-0.6597
деревня,ru,derevna,village,0.0
дурак,ru,durak,fool,-0.4404
сволочь,ru,svolotɕ,bastard,-0.5423
писька,ru,piska,pussy,0.0
молокосос,ru,molokosos,sucker,-0.5267
злоебучий,ru,zloebutɕij,wicked,-0.5267
опездол,ru,opezdol,opezdol,0.0
радужный,ru,raduʒnɨj,rainbow,0.0
дрянь,ru,dran,crap,-0.3818
пошел нахуй,ru,poʂelnaxuj,Fuck you.,-0.5423
еблище,ru,jebliɕe,fuck,-0.5423
лось,ru,los,moose,0.0
сексист,ru,seksist,sexist,0.0
ебальный станок,ru,jebalnɨjstanok,fucking machine,0.0
свинтус,ru,svintus,pig,0.0
рак мозга,ru,rakmozɡa,brain cancer,-0.6597
жидоёбка,ru,ʒidoobka,Jew fucker,-0.6486
дать пизды,ru,datpizdɨ,pussyfoot,0.0
многопиздная,ru,mnoɡopizdnaa,multifucked,0.0
трахнуть,ru,traxnut,fuck,-0.5423
пиздовладелец,ru,pizdovladelets,cunt owner,-0.4939
ебля,ru,jebla,fucking,0.0
иди к черту,ru,idiktɕertu,go to hell.,-0.6808
нахуй,ru,naxuj,fuck,-0.5423
распиздяй,ru,raspizdaj,asshole,0.0
малолетка,ru,maloletka,juvenile,0.0
голубятня,ru,ɡolubatna,dovecote,0.0
змея подколодная,ru,zmeapodkolodnaa,pit snake,0.0
очко,ru,otɕko,point,0.0
передернуть,ru,peredernut,twitch,0.0
блядемудиный пиздопроёб,ru,blademudinɨjpizdoproob,fucking cunt fucker.,-0.8431
присунул,ru,prisunul,poked,0.0
казел,ru,kazel,asshole,0.0
импотент,ru,impotent,impotent,-0.2732
навешать пиздюлей,ru,naveʂatpizdulej,pussyfoot around,0.0
мне до лампочки,ru,mnedolampotɕki,I don't care.,-0.3875
хули,ru,xuli,fuck,-0.5423
остоебать,ru,ostoebat,fuck off,-0.5423
сукин сын,ru,sukinsɨn,son of a bitch,-0.5859
пососи мои яйца,ru,pososimoiajtsa,Suck my balls.,-0.4404
писюн,ru,pisun,dick,-0.5106
хуй на тебя,ru,xujnateba,fuck you.,-0.5423
хохол,ru,xoxol,khohol,0.0
без пизды,ru,bezpizdɨ,without the pussy.,0.0
мудозвод,ru,mudozvod,husbandry,0.0
как ёб твою мать,ru,kakobtvoumat,like a motherfucker.,-0.4767
член,ru,tɕlen,dick,-0.5106
под юбкой,ru,podubkoj,under the skirt,0.0
хуйло,ru,xujlo,dickhead,-0.6249
жополиз,ru,ʒopoliz,asshole,0.0
подонок,ru,podonok,scumbag,-0.6369
наёб,ru,naob,fuck,-0.5423
говно,ru,ɡovno,shit,-0.5574
путана,ru,putana,slut,-0.5859
заебала,ru,zaebala,fucked up,-0.6597
допизды,ru,dopizdɨ,fuck it,-0.5423
елда,ru,jelda,faggot,-0.6597
дерево,ru,derevo,wood,0.0
проститутка,ru,prostitutka,prostitute,0.0
еб тебя,ru,jebteba,fuck you,-0.5423
отъебись,ru,otjebis,fuck off,-0.5423
гнида,ru,ɡnida,rot,0.0
хитровыебанный,ru,xitrovɨebannɨj,dodgy,-0.2263
козел,ru,kozel,goat,0.0
залупа,ru,zalupa,asshole,0.0
еб,ru,jeb,eb,0.0
облом,ru,oblom,bummer,-0.3818
не пудри мозги,ru,nepudrimozɡi,don't mess with me.,0.2755
вьебал,ru,vebal,fucked,-0.6597
"вдруг, откуда ни возьмись, появился в рот ебись",ru,vdruɡotkudanivozmispoavilsavrotebis,"all of a sudden, out of nowhere, there's a fuck you",0.431
изъебнулся,ru,izjebnulsa,fucked up,-0.6597
ебни,ru,jebni,ebony,0.0
жопа,ru,ʒopa,asshole,0.0
руки из жопы,ru,rukiizʒopɨ,hands out of ass,-0.5423
выебнуться,ru,vɨebnutsa,fuck off,-0.5423
мудила,ru,mudila,asshole,0.0
пиздобратия,ru,pizdobratia,cuntocracy,0.0
гобиться,ru,ɡobitsa,hobble,0.0
педик,ru,pedik,faggot,-0.6597
дура,ru,dura,fool,-0.4404
бадяжить,ru,badaʒit,potion,0.0
деревеньщина,ru,derevenɕina,hillbilly,0.0
наблядовал,ru,nabladoval,gawked,0.0
голубой,ru,ɡoluboj,blue,0.0
распиздяйка,ru,raspizdajka,cunt,-0.4939
капрофил,ru,kaprofil,caprofil,0.0
доебалась,ru,doebalas,fucked up,-0.6597
ёбкость,ru,jobkost,yobbishness,0.0
страть тебе в рот,ru,strattebevrot,Fuck you in the mouth.,-0.5423
опиздоумел,ru,opizdoumel,asshole,0.0
хитровыебанная,ru,xitrovɨebannaa,dodgy,-0.2263
говнюк,ru,ɡovnuk,asshole,0.0
засранец,ru,zasranets,asshole,0.0
дерьмо,ru,dermo,crap,-0.3818
осёд,ru,osod,sedge,0.0
заёб,ru,zaob,fuck,-0.5423
целкa,ru,tselka,virgin,0.0
еблан,ru,jeblan,fucker,-0.6486
ебанёшься,ru,jebanoʂsa,fuck off,-0.5423
ебанулся,ru,jebanulsa,fucked up,-0.6597
гей,ru,ɡej,gay,0.0
дерьмохеропиздократ,ru,dermoxeropizdokrat,shithead cocksucker,-0.8481
шлюха,ru,ʂluxa,whore,-0.6486
кнь педальный,ru,knpedalnɨj,pedal knee,0.0
пиздец,ru,pizdets,fuck,-0.5423
удавись,ru,udavis,blow yourself,0.0
развалюха,ru,razvaluxa,wreck,-0.4404
шут,ru,ʂut,buffoon,0.0
нахуярить,ru,naxuarit,fuck up,-0.5423
ебашит,ru,jebaʂit,fucks,-0.4767
прыщавый,ru,prɨɕavɨj,pimply,0.0
крыша поехала,ru,krɨʂapoexala,crazy,-0.34
у меня стоит,ru,umenastoit,I have,0.0
выёбывается,ru,vɨobɨvaetsa,fucking around,0.0
яйца,ru,jajtsa,eggs,0.0
слоняра,ru,slonara,elephant,0.0
обламатся,ru,oblamatsa,screw up,-0.1027
хер,ru,xer,dick,-0.5106
какого черта,ru,kakoɡotɕerta,what the hell,-0.6808
феменистка,ru,femenistka,feminist,0.0
заебал,ru,zaebal,fucked up,-0.6597
ебланка,ru,jeblanka,fucker,-0.6486
крыса,ru,krɨsa,rat,0.0
да пошел тыпошел ты,ru,dapoʂeltɨpoʂeltɨ,Fuck you. Fuck you.,-0.7906
фалос,ru,falos,phalos,0.0
фапать,ru,fapat,fap,0.0
черт возми,ru,tɕertvozmi,damn it,-0.4019
гнусный,ru,ɡnusnɨj,vile,-0.6249
машонка,ru,maʂonka,mashonka,0.0
пидоростия,ru,pidorostia,faggotry,0.0
трахаться,ru,traxatsa,fuck,-0.5423
пофапать,ru,pofapat,fan out,0.3182
ебальник разинул,ru,jebalnikrazinul,fucked up,-0.6597
пиздрик,ru,pizdrik,cunt,-0.4939
дуплоящер,ru,duploaɕer,duplicator,0.0
вжопу,ru,vʒopu,asshole,0.0
я тебя в рот ебал,ru,jatebavrotebal,I fucked you in the mouth.,-0.6597
сцать,ru,stsat,piss,-0.4019
подъёбки,ru,podjobki,jokes,0.25
ебаная сука,ru,jebanaasuka,fucking bitch,-0.624
объебала,ru,objebala,pissed off,-0.6369
яйчелы,ru,jajtɕelɨ,ovules,0.0
наебали,ru,naebali,fucked up,-0.6597
хуй тебе в жопу,ru,xujtebevʒopu,dick up your ass.,-0.7783
ты дегенерат,ru,tɨdeɡenerat,you degenerate.,0.0
объебал,ru,objebal,fucked up,-0.6597
заебёшь мёртвого,ru,zaeboʂmortvoɡo,fuck a dead man.,-0.8316
косяк,ru,kosak,joint,0.0
хуелес,ru,xueles,hueless,0.0
баба,ru,baba,baba,0.0
кощей,ru,koɕej,catfish,0.0
осел,ru,osel,donkey,0.0
наебнулся,ru,naebnulsa,fucked up,-0.6597
пососи ми яйчелы,ru,pososimiajtɕelɨ,Suck my balls.,-0.4404
болван,ru,bolvan,moron,-0.4939
черножепый,ru,tɕernoʒepɨj,nigger,-0.6486
еб твою мать,ru,jebtvoumat,Fucking hell.,-0.7089
овца,ru,ovtsa,sheep,0.0
нахуяриться,ru,naxuaritsa,fuck up,-0.5423
остоебал,ru,ostoebal,fucked up,-0.6597
пиздецкое,ru,pizdetskoe,fucked,-0.6597
ёбаная сука,ru,jobanaasuka,fucking bitch,-0.624
отсоси потом проси,ru,otsosipotomprosi,"Blow me, then ask me.",0.0
как мухи на говно,ru,kakmuxinaɡovno,like flies on shit,-0.2732
коза,ru,koza,goat,0.0
одень,ru,oden,put on,0.0
феменизм,ru,femenizm,feminism,0.0
алкаш,ru,alkaʂ,alkie,0.0
пизда,ru,pizda,cunt,-0.4939
пондостания,ru,pondostania,ponditions,0.0
уебался,ru,uebalsa,fucked up,-0.6597
хесосо,ru,xesoso,jesoso,0.0
маза факер,ru,mazafaker,maza faker,0.0
пасть,ru,past,mouth,0.0
опущеный,ru,opuɕenɨj,omitted,0.0
деревянный,ru,derevannɨj,wooden,0.0
ебанул,ru,jebanul,fucked,-0.6597
ахуй,ru,axuj,fuck,-0.5423
блядь,ru,blad,fuck,-0.5423
чурка,ru,tɕurka,chump,0.0
пиздодушие,ru,pizdoduʂie,cuntishness,0.0
объебали,ru,objebali,fucked up,-0.6597
пердун старый,ru,perdunstarɨj,old fart,0.0
пьянь,ru,pan,drunk,-0.34
пиздецкий,ru,pizdetskij,fucked,-0.6597
пиздопляска,ru,pizdoplaska,cunt dance,-0.4939
глупизди,ru,ɡlupizdi,stupid,-0.5267
оберблядь,ru,oberblad,cunt,-0.4939
соси писос,ru,sosipisos,Suck a pussy.,-0.4404
ёб,ru,job,yob,0.0
спиздила,ru,spizdila,snatched,0.0
оскотоёбился,ru,oskotoobilsa,fucked up,-0.6597
хуевина,ru,xuevina,cocksucker,-0.6249
блядистость,ru,bladistost,whoredom,-0.4767
пендос,ru,pendos,pendo,0.0
пиздабол,ru,pizdabol,cunt,-0.4939
козлоёбина,ru,kozloobina,goat fucker,-0.6486
изъебнуться,ru,izjebnutsa,fuck up,-0.5423
лох,ru,lox,sucker,-0.5267
трах,ru,trax,fuck,-0.5423
убью,ru,ubu,kill,-0.6908
мамку,ru,mamku,mom,0.0
соси хуй,ru,sosixuj,suck a dick,-0.7351
ленивая жопа,ru,lenivaaʒopa,lazy ass,-0.7184
подпиздывает,ru,podpizdɨvaet,pussyfooting,0.0
кресты,ru,krestɨ,crosses,0.0
некрофил,ru,nekrofil,necrophiliac,0.0
пендостан,ru,pendostan,Pendostan,0.0
мудачье,ru,mudatɕe,asshole,0.0
мудак,ru,mudak,asshole,0.0
скотоёбина,ru,skotoobina,bastard,-0.5423
нигретов,ru,niɡretov,nigretovs,0.0
нет яиц,ru,netaits,no eggs,-0.296
жидоёбские,ru,ʒidoobskie,Jew fuckers,-0.5994
забить хуй,ru,zabitxuj,fuck off,-0.5423
насрать,ru,nasrat,give a shit,-0.5574
свинья,ru,svina,pig,0.0
стояк,ru,stoak,riser,0.0
убъю,ru,ubju,kill,-0.6908
дувушка по вызову,ru,duvuʂkapovɨzovu,call girl,0.0
ботаник,ru,botanik,botanist,0.0
разъебали,ru,razjebali,fucked up,-0.6597
спиздил,ru,spizdil,snatched,0.0
козлоёб,ru,kozloob,asshole,0.0
бурда,ru,burda,bourda,0.0
наркоту,ru,narkotu,dope,0.0
хуй на нее,ru,xujnanee,fuck her,-0.5423
член тебе в рот,ru,tɕlentebevrot,dick in your mouth,-0.5106
рак,ru,rak,cancer,-0.6597
бля,ru,bla,fuck,-0.5423
сосать,ru,sosat,suck,-0.4404
завали ебало,ru,zavaliebalo,shut the fuck up,-0.5423
писос,ru,pisos,scribe,0.0
промежность,ru,promeʒnost,perineum,0.0
соска,ru,soska,pacifier,0.0
хуй тебе,ru,xujtebe,fuck you,-0.5423
пиздоёбищность,ru,pizdoobiɕnost,cuntishness,0.0
обосцыш,ru,obostsɨʂ,shit,-0.5574
ебало,ru,jebalo,fuckface,-0.6369
дрянной,ru,drannoj,trashy,0.0
да хуй его не возьмёт,ru,daxujeɡonevozmot,the fuck he won't take it.,-0.5423
сосунок,ru,sosunok,sucker,-0.5267
заебать,ru,zaebat,fuck up,-0.5423
падла,ru,padla,asshole,0.0
бляхомудия,ru,blaxomudia,blachomudia,0.0
завали рот,ru,zavalirot,shut your mouth,0.0
уебалась,ru,uebalas,fucked,-0.6597
подзалупный,ru,podzalupnɨj,subalarial,0.0
мондавошки,ru,mondavoʂki,mondavos,0.0
в жопу,ru,vʒopu,up my ass,-0.5423
шестерка,ru,ʂesterka,six,0.0
срать на тебя,ru,sratnateba,shit on you.,-0.5574
ебанат вонючий,ru,jebanatvonutɕij,fucking stinker,-0.4201
уёбище,ru,uobiɕe,motherfucker,-0.6808
жидоёб,ru,ʒidoob,Jew fucker,-0.6486
нига,ru,niɡa,niga,0.0
предатель,ru,predatel,traitor,0.0
хуй моржерый,ru,xujmorʒerɨj,motherfucker,-0.6808
ебёт в рот и в жопу,ru,jebotvrotivʒopu,Fucking in the mouth and in the ass.,-0.5423
шут гороховый,ru,ʂutɡoroxovɨj,pea jester,0.0
подофил,ru,podofil,podophile,0.0
лолита,ru,lolita,lolita,0.0
пендостания,ru,pendostania,pendocracies,0.0
пиздуй,ru,pizduj,fuck off,-0.5423
не хначь,ru,nexnatɕ,No shit.,0.4449
высший пиздец,ru,vɨsʂijpizdets,ultimate fuck-up,0.0
долбаеб,ru,dolbaeb,dickhead,-0.6249
пиздун,ru,pizdun,cunt,-0.4939
алкашная,ru,alkaʂnaa,alkali,0.0
мошонка,ru,moʂonka,scrotum,0.0
малоебущий,ru,maloebuɕij,fucked-up,0.0
слон,ru,slon,elephant,0.0
распиздошить,ru,raspizdoʂit,cuss out,0.0
трепездон,ru,trepezdon,trepisdon,0.0
чухмен,ru,tɕuxmen,chukhman,0.0
доебался,ru,doebalsa,fucked up,-0.6597
ебаная блядь,ru,jebanaablad,fucking bitch,-0.624
пидорас,ru,pidoras,faggot,-0.6597
пиздобрат,ru,pizdobrat,cunt,-0.4939
подпиздываеть,ru,podpizdɨvaet,pussy,0.0
да ебал я,ru,daebala,Fuck me.,-0.5423
нахуя,ru,naxua,for fuck's sake,0.0
черт,ru,tɕert,damn,-0.4019
баба яга,ru,babaaɡa,baba yaga,0.0
соси член,ru,sositɕlen,suck a dick,-0.7351
прокаженный,ru,prokaʒennɨj,leper,0.0
козлоёбище,ru,kozloobiɕe,asshole,0.0
уебаться,ru,uebatsa,fuck off,-0.5423
ебани,ru,jebani,fuck,-0.5423
дурак несчастный,ru,duraknestɕastnɨj,miserable fool,-0.7269
выебываться,ru,vɨebɨvatsa,fuck off,-0.5423
пасть закрой,ru,pastzakroj,shut your mouth,0.0
гандон,ru,ɡandon,dickhead,-0.6249
греблядь,ru,ɡreblad,rowing,0.0
заебали,ru,zaebali,fucked up,-0.6597
ошибка природы,ru,oʂibkaprirodɨ,mistake of nature,-0.34
поебень,ru,poeben,fuck,-0.5423
ты дурак,ru,tɨdurak,you're a fool.,-0.4404
ёб твою мать,ru,jobtvoumat,Fucking hell.,-0.7089
остоебала,ru,ostoebala,stooge,0.0
остоебали,ru,ostoebali,fucked up,-0.6597
пиздецкая,ru,pizdetskaa,fucked,-0.6597
пёзды,ru,pozdɨ,cunts,-0.5994
я твою мамку ебал,ru,jatvoumamkuebal,I fucked your mom.,-0.6597
похуй,ru,poxuj,fuck,-0.5423
балван,ru,balvan,spoilsport,0.0
ебаный карась,ru,jebanɨjkaras,fucking carp,0.0
завали пасть,ru,zavalipast,shut your mouth,0.0
черт побери,ru,tɕertpoberi,damn it,-0.4019
дегенерат,ru,deɡenerat,degenerate,0.0
азер,ru,azer,Azer,0.0
голоёбица,ru,ɡoloobitsa,naked cunt,-0.4939
москали,ru,moskali,Muscals,0.0
у меня встал,ru,umenavstal,I'm up.,0.0
пиздомания,ru,pizdomania,cunt addiction,-0.4939
гаишник,ru,ɡaiʂnik,traffic cop,0.0
уебки,ru,uebki,fuckers,-0.5994
выёбываются,ru,vɨobɨvautsa,fuck off,-0.5423
трепездонит,ru,trepezdonit,codpiece,0.0
халявочник,ru,xalavotɕnik,freeloader,-0.1779
исчезни,ru,istɕezni,disappear,-0.2263
залупа коская,ru,zalupakoskaa,asshole,0.0
на хуй,ru,naxuj,fuck off,-0.5423
секс,ru,seks,sex,0.0
объебательство,ru,objebatelstvo,embarrassment,-0.4404
сучьи сын,ru,sutɕisɨn,son of a bitch,-0.5859
блоха,ru,bloxa,flea,0.0
впиздячил,ru,vpizdatɕil,fucked up,-0.6597
пердун,ru,perdun,fart,0.0
выебываешься,ru,vɨebɨvaeʂsa,fucking around,0.0
уёбищенски,ru,uobiɕenski,ugly,-0.5106
факер,ru,faker,facer,0.0
лабизаться,ru,labizatsa,labialize,0.0
срачище,ru,sratɕiɕe,scramble,0.0
мордобой,ru,mordoboj,pugilism,0.0
окаченел,ru,okatɕenel,petrified,-0.5423
хуёво,ru,xuovo,fucked,-0.6597
хуйню нести,ru,xujnunesti,bullshit,-0.5859
забил хуй,ru,zabilxuj,fucked up.,-0.6597
жук навозный,ru,ʒuknavoznɨj,dung beetle,0.0
сучара,ru,sutɕara,bitch,-0.5859
наротан,ru,narotan,naratan,0.0
минет,ru,minet,blowjob,0.0
я твою маму ебал,ru,jatvoumamuebal,I fucked your mom.,-0.6597
говносос,ru,ɡovnosos,shit sucker,-0.7906
гадушник,ru,ɡaduʂnik,gadushnik,0.0
шароёбится,ru,ʂaroobitsa,wobbling,0.0
халява,ru,xalava,freebies,0.4215
нигер,ru,niɡer,nigger,-0.6486
сучка,ru,sutɕka,bitch,-0.5859
конченый,ru,kontɕenɨj,finished,0.0
рачина,ru,ratɕina,rachina,0.0
доебаться,ru,doebatsa,fuck off,-0.5423
наебашился,ru,naebaʂilsa,fucked up,-0.6597
сосихуйский,ru,sosixujskij,Sosikhui,0.0
ебать,ru,jebat,fuck,-0.5423
головка от хуя,ru,ɡolovkaotxua,dick head,-0.5106
ведьма,ru,vedma,witch,-0.3612
крышка,ru,krɨʂka,cover,0.0
крысеныш,ru,krɨsenɨʂ,little rat,0.0
пошел на хуй,ru,poʂelnaxuj,Fuck you.,-0.5423
пидоростан,ru,pidorostan,faggot,-0.6597
заебись,ru,zaebis,fucking great,0.659
ченый,ru,tɕenɨj,black,0.0
засунь в жопу,ru,zasunvʒopu,shove it up your ass.,-0.5423
конча,ru,kontɕa,cum,0.0
дубина,ru,dubina,cudgel,0.0
очкун,ru,otɕkun,goggle,0.0
москаль,ru,moskal,Muscal,0.0
долбаебка,ru,dolbaebka,motherfucker,-0.6808
косоёбится,ru,kosoobitsa,squint,0.0
мондавошка,ru,mondavoʂka,mondawoshka,0.0
нимфоманка,ru,nimfomanka,nymphomaniac,0.0
ебанулась,ru,jebanulas,fucked up,-0.6597
подъёбка,ru,podjobka,banter,0.0
жидоёбская,ru,ʒidoobskaa,Jew,0.0
объебать,ru,objebat,fuck around,-0.5423
изъебнулась,ru,izjebnulas,fucked up,-0.6597
трахал,ru,traxal,fucked,-0.6597
наебщики,ru,naebɕiki,fuckers,-0.5994
выёбываться,ru,vɨobɨvatsa,fuck off,-0.5423
иди нахуй,ru,idinaxuj,Fuck you.,-0.5423
косячок,ru,kosatɕok,joint,0.0
мамка,ru,mamka,mom,0.0
запад,ru,zapad,west,0.0
херотень,ru,xeroten,bullshit,-0.5859
даун,ru,daun,down,0.0
бля буду,ru,blabudu,I fucking will.,0.0
жопу порву маргала выкалю,ru,ʒopuporvumarɡalavɨkalu,"I'm gonna tear my ass up, I'm gonna roll out the margal.",-0.5423
"ну все, тебе пизда",ru,nuvsetebepizda,"That's it, you're fucked.",-0.6597
хуй,ru,xuj,dick,-0.5106
дуб дубом,ru,dubdubom,oak tree,0.0
connard,fr,kɔnaʀ,asshole,0.0
je m’en fou,fr,ʒəmənfu,I don't care,-0.3875
je m’en fous,fr,ʒəmənfu,I don't care,-0.3875
t’as intérêt ne pas m’énervé,fr,tasɛteʀətnəpasmenɛʀve,you better not piss me off,0.6319
je m’en fiche,fr,ʒəmənfiʃ,I don't care,-0.3875
emmerdeur,fr,ɑmɛʀdœʀ,pain in the ass,-0.7783
mange de la merde,fr,mɑʒədəlamɛʀd,eat shit,-0.5574
je veux faire l’amour avec toi,fr,ʒəvœksfɛʀɛlamuʀavəktwa,i want to make love to you,0.6705
papier q,fr,papjəʀk,paper q,0.0
ça me fait chier,fr,saməfɛtʃjəʀ,it pisses me off,-0.34
ducon,fr,dykɔ,ducon,0.0
t’es rien qu’un petit connard,fr,təsʀjɛkynpətitkɔnaʀ,you're nothing but a little prick,-0.394
putain de merde,fr,pytɛndəmɛʀd,FUCKING SHIT,-0.5984
s’en foutre,fr,sənfutʀ,don't care,-0.3875
va te faire enculer,fr,vatəfɛʀɛɑkyləʀ,fuck you,-0.5423
tu es con,fr,tyəskɔ,you're an idiot,-0.5106
je me fais chier,fr,ʒəmɛfɛsʃjəʀ,I'm bored,-0.2732
"meurs, pute",fr,mœʀspyt,"die, whore",-0.8481
batard,fr,bataʀ,batard,0.0
pétasse,fr,petas,cunt,-0.4939
dégage,fr,deɡaʒ,clear,0.3818
tu fais chier,fr,tyfɛsʃjəʀ,you're a pain in the ass,-0.7783
enfoiré,fr,ɑfwaʀe,bastard,-0.5423
ma couille,fr,makujl,my ball,0.0
chiante,fr,ʃjɑtə,annoying,-0.4019
nom de dieu,fr,nɔmdədjø,in the name of god,0.2732
ta race,fr,taʀaz,your race,0.0
mes couilles en toi,fr,məskujlɛsəntwa,my balls inside you,0.0
une casse-couille,fr,ynəkasəkujl,a pain in the ass,-0.7783
rien à branler,fr,ʀjənabʀɑləʀ,give a shit,-0.5574
ça fait shier,fr,safɛtsjəʀ,it's shier,0.0
pq,fr,pk,pq,0.0
chatte,fr,ʃat,pussy,0.0
baise moi mor,fr,bɛzəmwamɔʀ,fuck me mor,-0.5423
couille,fr,kujl,ball,0.0
c’est pas con,fr,kɛstpaskɔ,it's not stupid,0.4168
crève la gueule ouverte,fr,kʀəvɛlaɡɥœləuvɛʀt,die with your mouth open,-0.5994
j’ai baisé ta mère,fr,ʒaibɛzetaməʀ,i fucked your mother,-0.6597
sale,fr,sal,dirty,-0.4404
branleur,fr,bʀɑlœʀ,wanker,-0.5423
couillon,fr,kujlɔ,coward,-0.4588
bachie coupe,fr,baʃjəkup,bachie cut,-0.2732
baise,fr,bɛz,fuck,-0.5423
enfoirée,fr,ɑfwaʀe,bastard,-0.5423
va te faire foutre,fr,vatəfɛʀəfutʀ,fuck you,-0.5423
allez,fr,alɛ,go to,0.0
je t’emmerde,fr,ʒətɑmɛʀd,screw you,-0.1027
enculée,fr,ɑkyle,motherfucker,-0.6808
"oh, merde",fr,ɔmɛʀd,"oh, shit",-0.5574
c’est vraiment de ta faute,fr,kɛstvʀɛmɑtdətafot,it's really your fault,-0.4549
ça craint,fr,sakʀɛ,it sucks,-0.3612
dégueu,fr,deɡɥø,gross,-0.4767
s’en branler,fr,sənbʀɑləʀ,give a fuck,-0.5423
cul,fr,kyl,ass,-0.5423
va t’en,fr,vatɑ,go away,0.0
couilles,fr,kujl,balls,0.0
casse-toi,fr,kasətwa,get lost,-0.3182
niquer,fr,nikəʀ,fuck,-0.5423
pédé,fr,pede,fag,-0.4767
idiote,fr,idjɔt,silly,0.0258
putain,fr,pytɛ,whore,-0.6486
j’ai envie de chier,fr,ʒaiɑvjədɛʃjəʀ,I want to shit,-0.5106
t’es un salaud,fr,təsynsalo,you're a bastard,-0.5423
foutre le bordel,fr,futʀəlɛbɔʀdəl,making a mess,-0.3612
vous sentez comme le boeuf et le fromage,fr,vussɑtəzkɔmɛlɛbɔœfɛtləfʀɔmaʒ,you smell like beef and cheese,0.3612
gross cul,fr,ɡʀɔskyl,fat ass,-0.5423
chiant,fr,ʃjɑt,boring,-0.3182
quel salaud,fr,kəlsalo,what a bastard,-0.5423
je me suis fait baiser,fr,ʒəmɛsɥisfɛtbɛzəʀ,I got screwed,-0.4939
imbécile,fr,ɛbezil,fool,-0.4404
film de cul,fr,filmdəkyl,sex film,0.0
s’en foutre de,fr,sənfutʀəd,don't care about,-0.3875
crève la gueule ouverte!,fr,kʀəvɛlaɡɥœlɛuvɛʀtə,die with your mouth open!,-0.636
fais chier,fr,fɛsʃjəʀ,screw it,-0.1027
rien à foutre,fr,ʀjənafutʀ,screw it,-0.1027
sac vin,fr,sakvɛ,wine bag,0.0
petit tabernac,fr,pətittabɛʀnak,petit tabernac,0.0
tu me gonfles,fr,tyməɡɔfl,you piss me off,-0.4019
pédale,fr,pedal,pedal,0.0
avale mes couilles,fr,avaləməskujl,swallow my balls,0.0
un casse-couille,fr,ynkasəkujl,a pain in the ass,-0.7783
con,fr,kɔ,con,0.0
c’est con,fr,kɛstkɔ,it's stupid,-0.5267
du pq,fr,dypk,of the pq,0.0
face de cul,fr,fazədəkyl,butt face,0.0
branleur de chiens morts,fr,bʀɑlœʀdəʃjɛsmɔʀ,dead dog wanker,-0.8316
ta mere suce des bites en enfer,fr,taməʀɛsyzɛdɛsbitɛsɛnɑfəʀ,your mother sucks cocks in hell,-0.7964
merdasse,fr,mɛʀdas,merdasse,0.0
se taire,fr,sətɛʀ,hush,0.0
salope,fr,salɔp,bitch,-0.5859
vas faire foutre a la vache,fr,vasfɛʀəfutʀəalavaʃ,fuck the cow,-0.5423
emmerdeuse,fr,ɑmɛʀdœz,pain in the ass,-0.7783
prendre pour une conne,fr,pʀɑdʀəpuʀynəkɔn,take for a fool,-0.4404
sac merde,fr,sakmɛʀd,shit bag,-0.5574
c’est quoi ce bordel,fr,kɛstkwasəbɔʀdəl,what the hell,-0.6808
à  chier,fr,aʃjəʀ,crap,-0.3818
enculer les mouches,fr,ɑkyləʀləsmuʃ,fuck the flies,-0.5423
rien à foutre de,fr,ʀjənafutʀəd,nothing to do with,0.0
trou du cul,fr,tʀudykyl,asshole,0.0
salaud,fr,salo,bastard,-0.5423
bite,fr,bit,cock,-0.1531
merde embulante,fr,mɛʀdəɑbylɑt,emblematic shit,-0.5574
ta gueule,fr,taɡɥœl,shut up,0.0
ça pue,fr,sapy,it stinks,-0.25
j’en ai ral le bol,fr,ʒənaiʀalləbɔl,i'm fed up,0.0
t’as pas de couilles,fr,taspasdəkujl,you've got no balls,-0.296
mange ma bite,fr,mɑʒəmabit,eat my cock,-0.1531
sa race,fr,saʀaz,its breed,0.0
ta mere la pute,fr,taməʀəlapyt,ta mere la pute,0.0
tu commence m’enmerder,fr,tykɔmɑsəmɑmɛʀdəʀ,you're starting to piss me off,-0.4019
idiot,fr,idjo,idiot,-0.5106
petite pute,fr,pətitəpyt,little whore,-0.6133
tu et un ane,fr,tyətynan,tu et un ane,0.0
frambler,fr,fʀɑbləʀ,frambler,0.0
je me fais chier,fr,ʒəmɛfɛsʃjəʀ,I'm bored,-0.2732
emmerder,fr,ɑmɛʀdəʀ,screw,-0.1027
vous vissez,fr,vusvisɛ,you screw,-0.1027
